name,orgUnitPath,parentOrgUnitPath,direct,additionalTargetKeys,additionalTargetKeys.0.name,additionalTargetKeys.0.value,fields,fields.0.name,fields.0.value,fields.0.value.allowIpConfiguration,fields.0.value.allowNameServersConfiguration,fields.0.value.automaticallyConnect,fields.0.value.hiddenSsid,fields.0.value.name,fields.0.value.nameServerSelection,fields.0.value.passphrase,fields.0.value.proxySettings.type,fields.0.value.security,fields.0.value.selections.keyboardIds,fields.0.value.selections.keyboardIds.0,fields.0.value.ssid,fields.1.name,fields.1.value,,,,,,,,,,,,
chrome.devices.DeviceLoginScreenAutocompleteDomainGroup,/Devices,/Devices,TRUE,0,,,2,loginScreenDomainAutoComplete,TRUE,,,,,,,,,,,,,loginScreenDomainAutoCompletePrefix,meadowcroft.surrey.sch.uk,,,,,,,,,,,,
chrome.devices.DisabledDeviceReturnInstructions,/Devices,/Devices,TRUE,0,,,1,deviceDisabledMessage,"Please return this device to Meadowcroft Community Primary School 

Little Green Ln
Chertsey
Surrey, United Kingdom
KT16 9PT",,,,,,,,,,,,,,,,,,,,,,,,,,
chrome.devices.SignInKeyboard,/Devices,/Devices,TRUE,0,,,1,loginScreenKeyboardSelections,,,,,,,,,,,1,xkb:gb:extd:eng,,,,,,,,,,,,,,,
chrome.devices.SignInRestriction,/Devices,/Devices,TRUE,0,,,2,deviceAllowNewUsers,RESTRICTED_LIST,,,,,,,,,,,,,userAllowlist,*@meadowcroft.surrey.sch.uk,,,,,,,,,,,,
chrome.users.SecondaryGoogleAccountSignin,/Devices,/Devices,TRUE,0,,,1,secondaryGoogleAccountSigninAllowed,UNSET,,,,,,,,,,,,,,,,,,,,,,,,,,
chrome.networks.wifi.AllowForChromeDevices,/Devices,/Devices,TRUE,1,network_id,MCS-Devices-Wifi,1,allowForChromeDevices,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
chrome.networks.wifi.AllowForChromeUsers,/Devices,/Devices,TRUE,1,network_id,MCS-Devices-Wifi,1,allowForChromeUsers,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
chrome.networks.wifi.Details,/Devices,/Devices,TRUE,1,network_id,MCS-Devices-Wifi,1,details,,FALSE,FALSE,TRUE,FALSE,MCS-Devices,NAME_SERVERS_ENUM_AUTOMATIC,******,Direct,WPA-PSK,,,MCS-Devices,,,,,,,,,,,,,,
name,orgUnitPath,parentOrgUnitPath,direct,additionalTargetKeys,additionalTargetKeys.0.name,additionalTargetKeys.0.value,fields,fields.0.name,fields.0.value,fields.0.value.allowIpConfiguration,fields.0.value.allowNameServersConfiguration,fields.0.value.automaticallyConnect,fields.0.value.hiddenSsid,fields.0.value.name,fields.0.value.nameServerSelection,fields.0.value.passphrase,fields.0.value.proxySettings.type,fields.0.value.security,fields.0.value.selections.keyboardIds,fields.0.value.selections.keyboardIds.0,fields.0.value.ssid,fields.1.name,fields.1.value,,,,,,,,,,,,
chrome.devices.DeviceLoginScreenAutocompleteDomainGroup,/Devices/Governors,/Devices,FALSE,0,,,2,loginScreenDomainAutoComplete,TRUE,,,,,,,,,,,,,loginScreenDomainAutoCompletePrefix,meadowcroft.surrey.sch.uk,,,,,,,,,,,,
chrome.devices.DisabledDeviceReturnInstructions,/Devices/Governors,/Devices,FALSE,0,,,1,deviceDisabledMessage,"Please return this device to Meadowcroft Community Primary School 

Little Green Ln
Chertsey
Surrey, United Kingdom
KT16 9PT",,,,,,,,,,,,,,,,,,,,,,,,,,
chrome.devices.SignInKeyboard,/Devices/Governors,/Devices,FALSE,0,,,1,loginScreenKeyboardSelections,,,,,,,,,,,1,xkb:gb:extd:eng,,,,,,,,,,,,,,,
chrome.devices.SignInRestriction,/Devices/Governors,/Devices,FALSE,0,,,2,deviceAllowNewUsers,RESTRICTED_LIST,,,,,,,,,,,,,userAllowlist,*@meadowcroft.surrey.sch.uk,,,,,,,,,,,,
chrome.users.SecondaryGoogleAccountSignin,/Devices/Governors,/Devices,FALSE,0,,,1,secondaryGoogleAccountSigninAllowed,UNSET,,,,,,,,,,,,,,,,,,,,,,,,,,
chrome.networks.wifi.AllowForChromeDevices,/Devices/Governors,/Devices,FALSE,1,network_id,MCS-Devices-Wifi,1,allowForChromeDevices,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
chrome.networks.wifi.AllowForChromeUsers,/Devices/Governors,/Devices,FALSE,1,network_id,MCS-Devices-Wifi,1,allowForChromeUsers,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
